id,Age,Gender,Education Level,Job Title,Years of Experience,job_title_descriptions,Seniority,Industy
144,25.0,Female,Master's,Junior Marketing Specialist,1.5,"['junior', 'marketing', 'specialist']",Junior,Marketing
145,34.0,Male,Bachelor's,Senior Business Analyst,8.0,"['senior', 'business', 'analyst']",Senior,Sales
146,42.0,Female,PhD,Senior Data Scientist,16.0,"['senior', 'data', 'scientist']",Senior,Engineering
147,31.0,Male,Bachelor's,Junior Project Manager,4.0,"['junior', 'project', 'manager']",Junior,Operations
148,38.0,Female,Bachelor's,Senior Accountant,10.0,"['senior', 'accountant']",Senior,Finance
149,45.0,Male,Master's,Director of Sales,19.0,"['director', 'sales']",Director/Executive,Sales
150,29.0,Female,Bachelor's,Junior Recruiter,3.0,"['junior', 'recruiter']",Junior,HR
151,36.0,Male,Master's,Senior Business Development Manager,11.0,"['senior', 'business', 'development', 'manager']",Senior,Sales
152,43.0,Female,PhD,Senior Product Designer,18.0,"['senior', 'product', 'designer']",Senior,Design
153,26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,"['junior', 'customer', 'support', 'specialist']",Junior,Support
154,37.0,Female,Master's,Senior Marketing Analyst,9.0,"['senior', 'marketing', 'analyst']",Senior,Marketing
155,44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,"['senior', 'support', 'specialist']",Senior,Support
156,32.0,Female,Bachelor's,Junior Financial Analyst,5.0,"['junior', 'financial', 'analyst']",Junior,Finance
157,33.0,Male,Master's,Senior Operations Manager,7.0,"['senior', 'operations', 'manager']",Senior,Operations
158,51.0,Female,PhD,Director of Human Resources,23.0,"['director', 'human', 'resources']",Director/Executive,HR
159,28.0,Male,Bachelor's,Junior Software Engineer,2.0,"['junior', 'software', 'engineer']",Junior,Engineering
160,39.0,Female,Bachelor's,Senior Sales Representative,12.0,"['senior', 'sales', 'representative']",Senior,Sales
161,48.0,Male,Master's,Director of Product Management,21.0,"['director', 'product', 'management']",Director/Executive,Other
162,30.0,Female,Bachelor's,Junior Copywriter,3.0,"['junior', 'copywriter']",Junior,Writing
163,35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,"['senior', 'marketing', 'coordinator']",Senior,Marketing
164,41.0,Female,Master's,Senior Human Resources Manager,13.0,"['senior', 'human', 'resources', 'manager']",Senior,HR
165,27.0,Male,Bachelor's,Junior Business Development Associate,1.5,"['junior', 'business', 'development', 'associate']",Junior,Sales
166,40.0,Female,Bachelor's,Senior Account Manager,14.0,"['senior', 'account', 'manager']",Senior,Sales
167,46.0,Male,PhD,Senior Researcher,18.0,"['senior', 'researcher']",Senior,Other
168,31.0,Female,Bachelor's,Junior HR Coordinator,4.0,"['junior', 'hr', 'coordinator']",Junior,HR
169,34.0,Male,Master's,Senior Software Engineer,9.0,"['senior', 'software', 'engineer']",Senior,Engineering
170,50.0,Female,Master's,Director of Finance,20.0,"['director', 'finance']",Director/Executive,Finance
171,29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,"['junior', 'marketing', 'coordinator']",Junior,Marketing
172,,,,,,[],Other,Other
173,43.0,Male,Bachelor's,Senior Project Manager,16.0,"['senior', 'project', 'manager']",Senior,Operations
174,26.0,Female,Master's,Junior Data Scientist,1.5,"['junior', 'data', 'scientist']",Junior,Engineering
175,35.0,Male,Bachelor's,Senior Operations Analyst,7.0,"['senior', 'operations', 'analyst']",Senior,Operations
176,42.0,Female,PhD,Senior Marketing Manager,18.0,"['senior', 'marketing', 'manager']",Senior,Marketing
177,31.0,Male,Bachelor's,Junior Accountant,4.0,"['junior', 'accountant']",Junior,Finance
178,38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,"['senior', 'human', 'resources', 'coordinator']",Senior,HR
179,46.0,Male,Master's,Director of Operations,20.0,"['director', 'operations']",Director/Executive,Operations
180,29.0,Female,Bachelor's,Junior Sales Representative,2.0,"['junior', 'sales', 'representative']",Junior,Sales
181,37.0,Male,Master's,Senior Business Analyst,9.0,"['senior', 'business', 'analyst']",Senior,Sales
182,44.0,Female,PhD,Senior UX Designer,15.0,"['senior', 'ux', 'designer']",Senior,Design
183,27.0,Male,Bachelor's,Junior Product Manager,2.0,"['junior', 'product', 'manager']",Junior,Other
184,36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,"['senior', 'marketing', 'specialist']",Senior,Marketing
185,43.0,Male,Bachelor's,Senior IT Project Manager,14.0,"['senior', 'project', 'manager']",Senior,Operations
186,33.0,Female,Master's,Senior Financial Analyst,6.0,"['senior', 'financial', 'analyst']",Senior,Finance
187,34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,"['senior', 'quality', 'assurance', 'analyst']",Senior,Other
188,50.0,Female,PhD,Director of Sales and Marketing,22.0,"['director', 'sales', 'marketing']",Director/Executive,Marketing
189,28.0,Male,Bachelor's,Junior Operations Analyst,1.5,"['junior', 'operations', 'analyst']",Junior,Operations
190,39.0,Female,Bachelor's,Senior Account Executive,12.0,"['senior', 'account', 'executive']",Senior,Sales
191,47.0,Male,Master's,Director of Business Development,19.0,"['director', 'business', 'development']",Director/Executive,Sales
192,30.0,Female,Bachelor's,Junior Social Media Manager,3.0,"['junior', 'social', 'media', 'manager']",Junior,Marketing
193,34.0,Male,Bachelor's,Senior Product Manager,7.0,"['senior', 'product', 'manager']",Senior,Other
194,40.0,Female,Master's,Senior Human Resources Specialist,13.0,"['senior', 'human', 'resources', 'specialist']",Senior,HR
195,28.0,Male,Bachelor's,Junior Business Analyst,2.0,"['junior', 'business', 'analyst']",Junior,Sales
196,41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,"['senior', 'marketing', 'coordinator']",Senior,Marketing
197,45.0,Male,PhD,Senior Data Analyst,17.0,"['senior', 'data', 'analyst']",Senior,Engineering
198,32.0,Female,Bachelor's,Junior Account Manager,5.0,"['junior', 'account', 'manager']",Junior,Sales
199,35.0,Male,Master's,Senior Software Developer,9.0,"['senior', 'software', 'developer']",Senior,Engineering
200,49.0,Female,Master's,Director of Human Capital,21.0,"['director', 'human', 'capital']",Director/Executive,HR
201,30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,"['junior', 'advertising', 'coordinator']",Junior,Marketing
202,44.0,Male,Bachelor's,Senior Sales Manager,16.0,"['senior', 'sales', 'manager']",Senior,Sales
203,27.0,Female,Master's,Junior UX Designer,1.5,"['junior', 'ux', 'designer']",Junior,Design
204,36.0,Male,Bachelor's,Senior Accountant,7.0,"['senior', 'accountant']",Senior,Finance
205,41.0,Female,PhD,Senior Marketing Director,17.0,"['senior', 'marketing', 'director']",Senior,Marketing
206,31.0,Male,Bachelor's,Junior HR Generalist,4.0,"['junior', 'hr', 'generalist']",Junior,HR
207,39.0,Female,Bachelor's,Senior Operations Manager,10.0,"['senior', 'operations', 'manager']",Senior,Operations
208,47.0,Male,Master's,Director of Finance,20.0,"['director', 'finance']",Director/Executive,Finance
209,30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,"['junior', 'marketing', 'coordinator']",Junior,Marketing
210,38.0,Male,Master's,Senior IT Consultant,9.0,"['senior', 'consultant']",Senior,Other
211,45.0,Female,PhD,Senior Product Designer,15.0,"['senior', 'product', 'designer']",Senior,Design
212,28.0,Male,Bachelor's,Junior Business Development Associate,2.0,"['junior', 'business', 'development', 'associate']",Junior,Sales
213,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,"['senior', 'marketing', 'analyst']",Senior,Marketing
214,44.0,Male,Bachelor's,Senior Software Engineer,14.0,"['senior', 'software', 'engineer']",Senior,Engineering
215,34.0,Female,Master's,Senior Financial Advisor,6.0,"['senior', 'financial', 'advisor']",Senior,Finance
216,35.0,Male,Bachelor's,Senior Project Coordinator,9.0,"['senior', 'project', 'coordinator']",Senior,Operations
217,50.0,Female,PhD,Director of Operations,22.0,"['director', 'operations']",Director/Executive,Operations
218,29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,"['junior', 'business', 'operations', 'analyst']",Junior,Operations
219,40.0,,Bachelor's,Senior Sales Representative,12.0,"['senior', 'sales', 'representative']",Senior,Sales
220,48.0,Male,Master's,Director of Marketing,19.0,"['director', 'marketing']",Director/Executive,Marketing
221,,Female,Bachelor's,Junior Social Media Specialist,3.0,"['junior', 'social', 'media', 'specialist']",Junior,Marketing
222,33.0,Male,Bachelor's,Senior Product Development Manager,7.0,"['senior', 'product', 'development', 'manager']",Senior,Other
223,42.0,Female,Master's,Senior Human Resources Manager,13.0,"['senior', 'human', 'resources', 'manager']",Senior,HR
224,28.0,Male,Bachelor's,Junior Financial Analyst,2.0,"['junior', 'financial', 'analyst']",Junior,Finance
225,40.0,,Bachelor's,Senior Marketing Manager,11.0,"['senior', 'marketing', 'manager']",Senior,Marketing
226,46.0,Male,PhD,Senior Data Scientist,18.0,"['senior', 'data', 'scientist']",Senior,Engineering
227,33.0,Female,Bachelor's,Junior Operations Manager,5.0,"['junior', 'operations', 'manager']",Junior,Operations
228,37.0,Male,Master's,Senior Software Architect,9.0,"['senior', 'software', 'architect']",Senior,Engineering
229,51.0,Female,Master's,Director of Human Resources,21.0,"['director', 'human', 'resources']",Director/Executive,HR
230,30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,"['junior', 'marketing', 'specialist']",Junior,Marketing
231,43.0,Male,Bachelor's,Senior Project Manager,15.0,"['senior', 'project', 'manager']",Senior,Operations
232,27.0,Female,Master's,Junior Research Scientist,1.5,"['junior', 'research', 'scientist']",Junior,Other
233,35.0,Male,Bachelor's,Senior Operations Analyst,8.0,"['senior', 'operations', 'analyst']",Senior,Operations
234,42.0,Female,PhD,Senior Marketing Manager,13.0,"['senior', 'marketing', 'manager']",Senior,Marketing
235,32.0,,Bachelor's,Junior Sales Representative,3.0,"['junior', 'sales', 'representative']",Junior,Sales
236,37.0,Female,Bachelor's,Senior Financial Analyst,9.0,"['senior', 'financial', 'analyst']",Senior,Finance
237,45.0,Male,Master's,Senior Software Developer,16.0,"['senior', 'software', 'developer']",Senior,Engineering
238,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,"['junior', 'operations', 'analyst']",Junior,Operations
239,39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,"['senior', 'marketing', 'specialist']",Senior,Marketing
240,44.0,Female,PhD,Senior HR Manager,18.0,"['senior', 'hr', 'manager']",Senior,HR
241,29.0,Male,Bachelor's,Junior Business Analyst,1.5,"['junior', 'business', 'analyst']",Junior,Sales
242,38.0,Female,Bachelor's,Senior Product Manager,10.0,"['senior', 'product', 'manager']",Senior,Other
243,46.0,Male,PhD,Senior Data Analyst,19.0,"['senior', 'data', 'analyst']",Senior,Engineering
244,34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,"['junior', 'marketing', 'analyst']",Junior,Marketing
245,36.0,Male,Bachelor's,Senior Operations Manager,8.0,"['senior', 'operations', 'manager']",Senior,Operations
246,49.0,Female,Master's,Director of Marketing,21.0,"['director', 'marketing']",Director/Executive,Marketing
247,31.0,Male,Bachelor's,Junior Financial Analyst,3.0,"['junior', 'financial', 'analyst']",Junior,Finance
248,41.0,Female,Bachelor's,Senior Project Coordinator,11.0,"['senior', 'project', 'coordinator']",Senior,Operations
249,47.0,Male,Master's,Director of Operations,20.0,"['director', 'operations']",Director/Executive,Operations
250,30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,"['junior', 'marketing', 'coordinator']",Junior,Marketing
251,38.0,Male,Master's,Senior IT Consultant,9.0,"['senior', 'consultant']",Senior,Other
252,45.0,Female,PhD,Senior Product Designer,15.0,"['senior', 'product', 'designer']",Senior,Design
253,28.0,Male,Bachelor's,Junior Business Development Associate,2.0,"['junior', 'business', 'development', 'associate']",Junior,Sales
254,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,"['senior', 'marketing', 'analyst']",Senior,Marketing
255,44.0,Male,Bachelor's,Senior Software Engineer,14.0,"['senior', 'software', 'engineer']",Senior,Engineering
256,34.0,Female,Master's,Senior Financial Advisor,6.0,"['senior', 'financial', 'advisor']",Senior,Finance
257,35.0,Male,Bachelor's,Senior Project Coordinator,9.0,"['senior', 'project', 'coordinator']",Senior,Operations
258,50.0,Female,PhD,Director of Operations,22.0,"['director', 'operations']",Director/Executive,Operations
259,29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,"['junior', 'business', 'operations', 'analyst']",Junior,Operations
260,,,,,,[],Other,Other
261,37.0,Female,,Senior Financial Manager,10.0,"['senior', 'financial', 'manager']",Senior,Finance
262,46.0,Male,PhD,Senior Data Scientist,18.0,"['senior', 'data', 'scientist']",Senior,Engineering
263,31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,"['junior', 'marketing', 'coordinator']",Junior,Marketing
264,42.0,Male,Bachelor's,Senior Operations Manager,12.0,"['senior', 'operations', 'manager']",Senior,Operations
265,29.0,Female,Bachelor's,Junior Sales Representative,1.5,"['junior', 'sales', 'representative']",Junior,Sales
266,36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,"['senior', 'marketing', 'specialist']",Senior,Marketing
267,44.0,Female,Master's,Senior HR Specialist,15.0,"['senior', 'hr', 'specialist']",Senior,HR
268,33.0,Male,Bachelor's,Junior Operations Manager,4.0,"['junior', 'operations', 'manager']",Junior,Operations
269,39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,"['senior', 'marketing', 'coordinator']",Senior,Marketing
270,45.0,Male,PhD,Senior Data Engineer,16.0,"['senior', 'data', 'engineer']",Senior,Engineering
271,32.0,Female,Bachelor's,Junior Marketing Manager,4.0,"['junior', 'marketing', 'manager']",Junior,Marketing
272,37.0,Male,Bachelor's,Senior Financial Analyst,8.0,"['senior', 'financial', 'analyst']",Senior,Finance
273,47.0,Female,Master's,Director of Marketing,20.0,"['director', 'marketing']",Director/Executive,Marketing
274,30.0,Male,Bachelor's,Junior Business Analyst,2.0,"['junior', 'business', 'analyst']",Junior,Sales
275,38.0,Female,Bachelor's,Senior Project Manager,9.0,"['senior', 'project', 'manager']",Senior,Operations
276,46.0,Male,PhD,Senior Data Analyst,17.0,"['senior', 'data', 'analyst']",Senior,Engineering
